Feature,Type,Min,Max,Missing
word_freq_make,float64,0.0,4.54,0
word_freq_address,float64,0.0,14.28,0
word_freq_all,float64,0.0,5.1,0
word_freq_3d,float64,0.0,42.81,0
word_freq_our,float64,0.0,10.0,0
word_freq_over,float64,0.0,5.88,0
word_freq_remove,float64,0.0,7.27,0
word_freq_internet,float64,0.0,11.11,0
word_freq_order,float64,0.0,5.26,0
word_freq_mail,float64,0.0,18.18,0
word_freq_receive,float64,0.0,2.61,0
word_freq_will,float64,0.0,9.67,0
word_freq_people,float64,0.0,5.55,0
word_freq_report,float64,0.0,10.0,0
word_freq_addresses,float64,0.0,4.41,0
word_freq_free,float64,0.0,20.0,0
word_freq_business,float64,0.0,7.14,0
word_freq_email,float64,0.0,9.09,0
word_freq_you,float64,0.0,18.75,0
word_freq_credit,float64,0.0,18.18,0
word_freq_your,float64,0.0,11.11,0
word_freq_font,float64,0.0,17.1,0
word_freq_000,float64,0.0,5.45,0
word_freq_money,float64,0.0,12.5,0
word_freq_hp,float64,0.0,20.83,0
word_freq_hpl,float64,0.0,16.66,0
word_freq_george,float64,0.0,33.33,0
word_freq_650,float64,0.0,9.09,0
word_freq_lab,float64,0.0,14.28,0
word_freq_labs,float64,0.0,5.88,0
word_freq_telnet,float64,0.0,12.5,0
word_freq_857,float64,0.0,4.76,0
word_freq_data,float64,0.0,18.18,0
word_freq_415,float64,0.0,4.76,0
word_freq_85,float64,0.0,20.0,0
word_freq_technology,float64,0.0,7.69,0
word_freq_1999,float64,0.0,6.89,0
word_freq_parts,float64,0.0,8.33,0
word_freq_pm,float64,0.0,11.11,0
word_freq_direct,float64,0.0,4.76,0
word_freq_cs,float64,0.0,7.14,0
word_freq_meeting,float64,0.0,14.28,0
word_freq_original,float64,0.0,3.57,0
word_freq_project,float64,0.0,20.0,0
word_freq_re,float64,0.0,21.42,0
word_freq_edu,float64,0.0,22.05,0
word_freq_table,float64,0.0,2.17,0
word_freq_conference,float64,0.0,10.0,0
char_freq_;,float64,0.0,4.385,0
char_freq_(,float64,0.0,9.752,0
char_freq_[,float64,0.0,4.081,0
char_freq_!,float64,0.0,32.478,0
char_freq_$,float64,0.0,6.003,0
char_freq_#,float64,0.0,19.829,0
capital_run_length_average,float64,1.0,1102.5,0
capital_run_length_longest,int64,1.0,9989.0,0
capital_run_length_total,int64,1.0,15841.0,0
