Component,Original_Dimensions,PCA_Dimensions,Explained_Variance_Ratio,Cumulative_Explained_Variance
1,57,16,0.1182428283713784,0.1182428283713784
2,57,16,0.05733768340561611,0.17558051177699452
3,57,16,0.035398541076880695,0.21097905285387522
4,57,16,0.02794695860412867,0.2389260114580039
5,57,16,0.027121787239871534,0.2660477986978754
6,57,16,0.026149747215974534,0.29219754591384994
7,57,16,0.025204960076127086,0.31740250598997705
8,57,16,0.024064433088742686,0.3414669390787197
9,57,16,0.023076069428198197,0.3645430085069179
10,57,16,0.02231520086947605,0.3868582093763939
11,57,16,0.021118361057525428,0.4079765704339193
12,57,16,0.020313819637190117,0.4282903900711095
13,57,16,0.019594242389572355,0.44788463246068183
14,57,16,0.019286318657507524,0.46717095111818935
15,57,16,0.019146443291549867,0.4863173944097392
16,57,16,0.018790372920723494,0.5051077673304627
